"Очень красивый отель, что внутри , что с наружи!! Персонал внимательный, вежливый!! Советую побывать в этом отели!!",5
"Прекрасный, новый отель, всё на высшем уровне",5
"К сожалению бы разочарован данным отелем, после заселения в номере, решил принять ванну был обнаружен волос",1
Номер ресторан,5
Твёрдая 5-ка!,5
"Прекрасный отель, персонал. Все было превосходно. Завтраки лучшие 🔥🔥🔥",5
"Замечательный качественный отдых, дающий возможность восстановить силы, получить возможность расслабиться.",5
Отлично,5
Лучшее место для отдыха и проведения мероприятий,5
"Шикарно, рекомендую",5
"Прекрасный большой отель! Оставались там 08.09.24 в мой день рождения. Большой чистый и просторный номер. Персонал был приветлив и отзывчив. Обещали комплимент в честь ДР, но видимо забыли, но это не смогло омрачить прекрасного пребывания в этом отеле. Не много смутила стоимость парковки 1500 ₽ на сутки. С удовольствием вернемся сюда еще раз!",5
Отличный отель!,5
"Отель очень красивый. В номере все чисто, аккуратно, все работает, всего хватает, хорошая шумоизоляция. Водичка и чай каждый день пополнялись. Вкусно пахнет на этажах и в холле. Девочки на ресепшене дружелюбные и отзывчивые. На территории отеля красивый парк. Прочитали заранее, что парковка платная, поэтому прилетели на самолете 😅 Общие впечатления - хорошие.",5
"Все понравилось, из номера даже выходить не хотелось, все продумано до мелочей 💯",5
"Отличный отель в центре Москвы. Много где были и многое повидали. Все хорошо,рядом станция метро, ботанический сад. Отель порадовал обслуживанием, отличные завтраки. Обычно пишут что не понравилось, в этом отеле понравилось все. Немного огорчил платный паркинг. При бронировании отеля об этом не было информации и при заселении получился неприятный сюрприз. Помогли работники отеля быстро решить этот вопрос, большое им спасибо! В целом все хорошо и нам очень понравилось.",5
"Очень красивый, классный отель. Приятный персонал. На завтраках встречала и приветливо всё рассказывала София. Спасибо за оказанные услуги, приятное настроение и красивый вид.",5
"Как всегда, отель безупречен! Отличный номер, сервис, завтрак. Прекрасно провели время, обязательно вернёмся",5
"Отличный отель! Все безупречно! Номер шикарный , дорогая отделка, просторный , 48 кв. Ванная комната просторная. Вид из окна отличный, парк.метро пару минут вдоль парка. Заезд для такси отличный , ожидание : лавки с видом на парк. Завтрак разнообразный, не могу представить, чего не хватает для завтрака. Выпечка, качество блюд безупречно. Каждое блюдо вкусно! Единственно , что не понравилось . Это ресторан китайской кухни на 1 эт, блюда на 3 и еще 10% чаевые. Ты и так расстроен качеством блюд , а тебе еще и карандашом в чеке написали : заплати 1000₽.",5
"Отель супер! Все понравилось: и еда,и обслуживание,и номер. Все чисто и красиво! Рекомендую",5
"Отличный отель, хорошие просторные номера. Приветливый персонал, красивая территория отеля.",5
"Плюсы: Хорошие чистые номера, хороший завтрак, хорошее расположение, в общем почти все то, что ожидаешь от пяти звезд присутствует. Минусы: - в душевой кабине оказались использованные средства гигиены (их заменили после обращения). - не особо внимательный персонал. Остановились с супругой для празднования годовщины. Я заранее звонил в отель, сообщил, что особый повод, и уточнил, что я могу сделать чтобы получить номер на этаже повыше и видом на парк. Сотрудники попросили оставить комментарий и обещали сделать все возможное, а так же обещали сделать комплимент по случаю. В итоге: номер на 9 этаже с видом на шоссе (который после доплаты превратился в нужный на 19 этаже...) Ну и решили обойтись без комплиментов... Если откинуть невнимательность персонала, то отель вполне хороший. Твердая четверка.",4
"Шикарный отель, номера большие и очень удобные , завтраки превосходные.Все понравилось .",5
Прекрасный отель! Очень понравилось,5
"отличный отель, все чистое, новое, есть ванна в номерах, сам номер большой и просторный, рядом красивый небольшой парк, заселили быстро, поставили доп кровать ребенку за что отдельное спасибо! и принесли детский набор для душа и детские халат и тапочки)) единственный минус - кондиционер, дует холодным воздухом в режиме 22 градуса, а поднимаешь до 23 - выключается, режима fan нет, только охлаждение, поэтому ночью дуло в лицо, спасла маска для сна",5
"Отличный отель, хорошие современные номера, чистая паркова, современный дизайн отделки и наполнения, в номере есть все необходимое. Отель находится в живописном месте, рядом парк, ВДНХ, метро и все необходимыек магазины. Отдельного внимания заслуживает шведский стол, все очень вкусное и свежее. Буду сотанавливаться в нем не раз. Благодарю.",5
"Прекрасный отель. Бронировали номер на завтраках. Еда очень разнообразная и вкусная, шведский стол, даже шампанским с утра можно побаловать себя. Номера огромные, чистые, красивые, современные, технологичные. В номере есть рабочая зона, зона отдыха, прекрасный вид, отличная звуко- и шумоизоляция, понорамная ванна и огромный санузел, даже гладильная доска с утюгом имеются прямо в номере. Продумано всё до мелочей, что облегчает и украшает времяпровождения. Очень любезный и приветливый персонал. Перед входом располагается прекрасный китайский ботанический сад со свободным входом, там тоже можно погулять и отдохнуть. Рекомендую данный отель. Впечатления на 5+. Обязательно приедем ещё.",5
"Красивый отель с красивым парком. Вкусные и разнообразные завтраки - шведская линия огромна, кофе и свежевыжатые соки очень вкусные. Номер чистый, просторный. Окно открывается на проветривание, кондиционер тоже работает отлично. Теплые полы, ванная и душевая 👍 Весь персонал заботлив и внимателен.",5
"Как всегда, все на высоте! Спасибо персоналу! Спасибо за гостеприимство! Отель отличный, сад прекрасный! Вернемся еще раз!",5
"Кондиционер плохо работал, очень слабо Все остальное на высоте! 5 звёзд",4
